Applicant_ID,Age,Income,Credit_Score,Employment_Years,Loan_Amount,Existing_Loans,Loan_Term,Loan_Approved
1,59,146413,410,8,523918,4,24,0
2,49,64327,550,0,626201,4,36,0
3,35,88904,682,7,824504,0,60,1
4,28,23797,306,5,669064,0,48,0
5,41,67882,758,5,75991,4,24,0
6,59,33718,383,17,564265,5,12,0
7,39,54560,507,16,760205,2,24,0
8,43,96589,689,11,678380,4,12,0
9,31,42116,613,5,279577,0,24,0
10,31,56244,321,7,760672,3,12,0
11,44,121721,709,18,453777,1,12,1
12,56,21645,814,9,984405,5,24,0
13,60,67523,426,0,811401,5,24,0
14,44,144085,313,12,145556,3,12,0
15,23,137718,311,16,899307,3,60,0
16,42,39256,386,2,206989,0,24,0
17,22,121376,823,7,374264,4,36,1
18,44,120158,836,13,445204,2,48,1
19,50,73173,600,2,556961,5,12,0
20,58,57430,542,15,946473,5,12,0
21,22,59282,421,12,702755,3,48,0
22,41,139719,446,19,570616,4,60,1
23,53,83374,655,16,457472,5,48,0
24,32,88244,608,12,430634,2,24,0
25,42,31694,587,5,793088,3,48,0
26,45,76264,606,16,700443,2,12,1
27,47,95060,848,13,340374,4,48,1
28,48,117416,651,16,548682,5,36,0
29,36,77545,611,7,109778,1,24,1
30,35,138195,358,10,95833,5,48,0
31,23,59224,334,19,859057,4,12,0
32,57,122516,744,0,606376,5,24,0
33,27,117945,392,6,785010,5,12,0
34,41,33224,506,20,416081,0,60,0
35,29,60738,652,20,514507,5,36,0
36,59,45150,631,16,246375,5,60,0
37,38,83731,458,9,126361,2,36,0
38,24,69688,323,10,400373,1,48,0
39,45,119929,703,8,185189,2,24,0
40,34,128618,815,8,664553,2,48,1
41,29,93509,663,4,572154,3,36,1
42,46,28577,681,16,672006,0,36,1
43,22,28070,831,8,372854,2,36,0
44,40,146161,451,16,669164,4,12,1
45,48,28666,719,20,80949,4,24,0
46,27,77761,549,18,990051,5,48,0
47,28,141178,416,6,787242,3,48,0
48,55,56368,811,8,904568,0,60,1
49,34,26783,634,6,161541,0,36,0
50,37,131530,717,12,769979,5,36,0
51,56,61914,594,10,111842,4,36,0
52,60,90507,670,13,538019,1,48,1
53,24,147738,485,18,282930,3,60,1
54,22,99026,545,10,339134,5,12,0
55,26,135893,567,12,721553,3,24,1
56,24,131255,536,13,342253,4,12,1
57,49,130616,829,12,180356,4,48,1
58,38,87526,320,0,986737,1,36,0
59,46,90835,819,7,818917,1,24,1
60,54,65765,399,11,787090,0,48,0
61,30,39956,777,18,964565,3,48,0
62,56,107895,597,11,739870,3,48,1
63,34,66240,825,7,837738,4,24,0
64,51,141008,633,7,53849,0,24,1
65,35,57148,301,20,62360,5,60,0
66,28,114270,674,12,423216,3,60,1
67,34,147978,592,11,827567,0,12,1
68,43,24757,617,15,669055,0,24,1
69,60,39097,801,0,311445,4,24,1
70,41,30395,680,12,751160,0,24,0
71,36,36241,313,6,571658,1,60,0
72,38,123892,803,4,480179,1,48,1
73,44,47696,530,7,104330,2,36,0
74,46,135654,383,13,101707,4,60,0
75,45,90480,429,12,330833,5,24,0
76,49,66163,444,14,603372,2,60,0
77,35,39816,327,16,90387,1,12,0
78,21,69840,365,14,911248,2,24,0
79,45,122547,462,19,576930,4,12,0
80,27,72853,528,17,878569,4,24,0
81,29,44917,560,17,523048,0,60,0
82,44,116731,748,1,236633,3,48,1
83,21,41566,723,3,898692,0,36,0
84,28,95452,759,0,720798,4,12,0
85,44,82823,600,3,884874,1,60,0
86,31,141392,602,17,939493,5,48,1
87,37,40806,586,4,446210,1,60,0
88,28,95520,694,18,828799,0,12,1
89,55,21759,309,14,437988,5,36,0
90,55,146092,569,7,411719,4,60,1
91,53,61949,660,19,838245,1,24,0
92,25,112374,556,16,929459,4,48,0
93,59,22482,432,0,959921,5,60,0
94,48,44442,575,11,134381,5,48,0
95,27,53719,812,18,824168,1,24,1
96,29,78066,612,14,891708,4,36,0
97,28,113501,583,8,877675,2,36,1
98,32,22079,420,6,243984,4,24,0
99,54,22717,406,1,110272,5,48,0
100,53,79676,503,8,545916,4,60,0
101,43,47952,464,9,747411,0,24,0
102,44,106444,604,1,788096,2,12,0
103,57,62460,796,18,303091,3,48,1
104,55,110397,455,10,902050,0,36,0
105,60,92847,666,12,314064,3,24,0
106,42,113607,550,9,156121,1,36,0
107,47,109106,633,13,520435,3,48,0
108,55,38449,810,17,651160,4,36,0
109,21,53536,592,18,917564,3,24,0
110,55,84077,319,8,314237,5,48,0
